Country,RMSE_LSTM,RMSE_Transformer,Better Model
Vietnam,4.88043705452142,0.5158002673474608,Transformer
Thailand,0.3532970944768325,0.4743532358920592,LSTM
India,0.1210863037915288,0.4298312437889378,LSTM
Philippines,0.3408129589703365,0.3557839937050907,LSTM
Indonesia,6.961541057650339,0.4744625962065339,Transformer
Malaysia,2.3788272781080653,0.5543186197423019,Transformer
Japan,0.0640813784936722,0.4812528799002058,LSTM
"Korea, South",0.0680886234155278,0.6359602862599653,LSTM
Bangladesh,3.732952331964042,0.6365783576275152,Transformer
Pakistan,2.0125393786597927,0.5133171697694576,Transformer
